source_col,target_col,source_dtype,target_dtype,source_length,source_scale,target_length,target_scale,masking,internal_flag
None,_ingested_at,None,Datetime,0,0,0,0,None,True
None,_partition,None,String,20,0,20,0,None,True
None,_source_host,None,String,100,0,100,0,None,True
None,_run_id,None,String,50,0,50,0,None,True
id,order_id,Int64,Int64,19,0,19,0,None,False
cust_id,customer_id,String,Int64,50,0,19,0,None,False
ordered_at,order_ts,Datetime,Datetime,0,0,0,0,None,False
total_amt,amount,Numeric,Float64,12,4,12,2,None,False
user_email,email,String,String,255,0,255,0,SHA256,False
cc_num,credit_card,String,String,16,0,16,0,LAST_4,False
